state,county,gisjoin,pop_enslaved_1860,pop_total_1860,pop_total_2010,pop_black_2010,pop_white_2010,income_black_2010,income_white_2010,pct_pop_enslaved_1860,had_rosenwald_school
North Carolina,Warren,G3701850,10401,15726,20972,10970,8128,24637,47485,66.1388782907287,1
North Carolina,Washington,G3701870,2465,6357,13228,6587,6084,22786,42059,38.7761522730848,1
North Carolina,Watauga,G3701890,104,4957,51079,877,48272,22292,32605,2.09804317127295,0
North Carolina,Wayne,G3701910,5451,14905,122623,38499,72135,30178,49438,36.5716202616572,1
North Carolina,Wilkes,G3701930,1208,14749,69340,2830,62824,27212,33913,8.19038578886704,1
North Carolina,Wilson,G3701950,3496,9720,81234,31686,42222,26498,52377,35.9670781893004,1
North Carolina,Yadkin,G3701970,1436,10714,38406,1192,34007,34228,41146,13.4030240806422,1
North Carolina,Yancey,G3701990,362,8655,17818,145,16967,8750,35697,4.18255343731947,0
South Carolina,Abbeville,G4500010,20502,32385,25417,7187,17691,17828,40096,63.3070866141732,1
South Carolina,Anderson,G4500070,8425,22873,187126,30020,149818,26694,46533,36.8338215363092,1
South Carolina,Barnwell,G4500110,17401,30743,22621,10015,11899,23869,45192,56.6015027811209,1
South Carolina,Beaufort,G4500130,32530,40053,162233,31290,116606,31906,62473,81.217386962275,1
South Carolina,Charleston,G4500190,37290,70100,350209,104239,224910,28802,59973,53.1954350927247,1
South Carolina,Chester,G4500230,10868,18122,33140,12387,19814,23630,40520,59.9713055954089,1
South Carolina,Chesterfield,G4500250,4348,11834,46734,15253,29352,23439,38993,36.7415920229846,1
South Carolina,Clarendon,G4500270,8566,13095,34971,17504,16445,24173,43180,65.4142802596411,1
South Carolina,Colleton,G4500290,32307,41916,38892,15178,22173,22084,39880,77.0755797308904,1
South Carolina,Darlington,G4500310,11877,20361,68681,28573,38366,28237,46778,58.3321054958008,1
South Carolina,Edgefield,G4500370,24060,39887,26985,10030,15825,21458,59274,60.3204051445333,1
South Carolina,Fairfield,G4500390,15534,22111,23956,14167,9236,24656,45578,70.2546243950975,1
South Carolina,Georgetown,G4500430,18109,21305,60158,20214,38005,24339,52385,84.9988265665337,1
South Carolina,Greenville,G4500450,7049,21892,451225,81497,333084,29408,51751,32.1989767951763,1
South Carolina,Horry,G4500510,2359,7962,269291,36202,215071,23884,46375,29.6282341120322,1
South Carolina,Kershaw,G4500550,7841,13086,61697,15188,43965,31164,50424,59.9189974018035,1
South Carolina,Lancaster,G4500570,5650,11797,76652,18278,54844,28041,43367,47.8935322539629,1
South Carolina,Laurens,G4500590,13200,23858,66537,16933,46848,28980,43663,55.3273535082572,1
South Carolina,Lexington,G4500630,6202,15579,262391,37522,208023,32262,56761,39.8100006418897,1
South Carolina,Marion,G4500670,9951,21190,33062,18476,13434,23151,44112,46.9608305804625,1
South Carolina,Marlboro,G4500690,6893,12434,28933,14729,11987,24085,33930,55.4367058066592,1
South Carolina,Newberry,G4500710,13695,20879,37508,11626,23301,25833,51578,65.5922218497054,1
South Carolina,Orangeburg,G4500750,16583,24896,92501,57535,31770,25754,45443,66.6090938303342,1
South Carolina,Pickens,G4500770,4195,19639,119224,7854,105747,29235,43501,21.3605580732217,1
South Carolina,Richland,G4500790,11005,18307,384504,176538,181974,36914,60520,60.1136177418474,1
South Carolina,Spartanburg,G4500830,8240,26919,284307,58565,205680,28206,46989,30.6103495672202,1
South Carolina,Sumter,G4500850,16682,23859,107456,50414,51825,27733,50252,69.919108093382,1
South Carolina,Union,G4500870,10801,19635,28961,9066,19286,22957,38674,55.0089126559715,1
South Carolina,Williamsburg,G4500890,10259,15489,34423,22637,10939,19275,41821,66.2341016205049,1
South Carolina,York,G4500910,9984,21502,226073,43003,169158,33598,57110,46.4328899637243,1
Tennessee,Anderson,G4700010,583,7068,75129,2847,69065,31875,44776,8.24844368986984,0
Tennessee,Bedford,G4700030,6744,21584,45058,3564,36848,21263,40556,31.2453669384729,1
Tennessee,Benton,G4700050,534,8463,16489,321,15737,28345,34479,6.30981921304502,0
Tennessee,Bledsoe,G4700070,689,4459,12876,470,12048,30089,29876,15.4518950437318,1
Tennessee,Blount,G4700090,1363,13270,123010,3380,114993,38030,48113,10.2712886209495,1
Tennessee,Bradley,G4700110,1173,11701,98963,4219,89386,36573,40400,10.0247842064781,1
Tennessee,Campbell,G4700130,366,6712,40716,125,39778,33906,30681,5.45292014302741,0
Tennessee,Cannon,G4700150,974,9509,13801,168,13325,46250,38290,10.2429277526554,0
Tennessee,Carroll,G4700170,4064,17437,28522,2879,24755,26923,37470,23.3067614842003,1
Tennessee,Carter,G4700190,374,7124,57424,760,55335,16657,31425,5.24985962942167,0
Tennessee,Cheatham,G4700210,1882,7258,39105,564,37374,77778,52437,25.9300082667402,1
Tennessee,Claiborne,G4700250,743,9643,32213,282,31224,22121,31281,7.70507103598465,1
Tennessee,Cocke,G4700290,849,10408,35662,669,33911,17132,28990,8.15718677940046,1
Tennessee,Coffee,G4700310,1529,9689,52796,1845,48561,30833,40676,15.7807823304779,1
Tennessee,Cumberland,G4700350,121,3460,56053,161,54266,77500,36878,3.4971098265896,0
Tennessee,Davidson,G4700370,14790,47055,626681,173730,385039,32723,50953,31.4313037934332,1
Tennessee,DeKalb,G4700410,1025,10573,18723,250,17352,29904,35012,9.69450487089757,0
Tennessee,Decatur,G4700390,784,6276,11757,338,11139,14423,31436,12.4920331421287,1
Tennessee,Dickson,G4700430,2201,9982,49666,2056,45611,28750,45290,22.0496894409938,1
Tennessee,Dyer,G4700450,2641,10536,38335,5477,31432,23431,39127,25.0664388762339,1
